-20396, -25645, 2307123
-28510, -16151, 2311192
-32482, -4310, 2315261
-31736, 8157, 2319330
-26378, 19438, 2323399
-17189, 27896, 2327468
-5503, 32302, 2331537
6983, 32014, 2335606
18454, 27076, 2339675
27245, 18204, 2343744
32077, 6688, 2347813
32250, -5800, 2351882
27737, -17445, 2355951
19195, -26556, 2360020
7864, -31809, 2364089
-4609, -32441, 2368158
-16413, -28360, 2372227
-25832, -20159, 2376296
-31498, -9030, 2380365
-32589, 3412, 2384434
-28945, 15358, 2388503
-21096, 25072, 2392572
-10183, 31145, 2396641
2210, 32692, 2400710
14282, 29491, 2404779
24279, 22005, 2408848
30749, 11322, 2412917
32752, -1005, 2416986
29997, -13187, 2421055
22884, -23452, 2425124
12446, -30311, 2429193
201, -32766, 2433262
-12074, -30462, 2437331
-22594, -23731, 2441400
-29832, -13554, 2445469
-32737, -1407, 2449538
-30885, 10944, 2453607
-24547, 21705, 2457676
-14643, 29313, 2461745
-2611, 32663, 2465814
9800, 31267, 2469883
20787, 25329, 2473952
28755, 15712, 2478021
32545, 3811, 2482090
31607, -8642, 2486159
26077, -19841, 2490228
16759, -28157, 2494297
5007, -32382, 2498366
-7473, -31903, 2502435
-18868, -26790, 2506504
-27521, -17784, 2510573
-32176, -6195, 2514642
-32157, 6294, 2518711
-27466, 17869, 2522780
-18785, 26848, 2526849
-7375, 31926, 2530918
5106, 32367, 2534987
16846, 28105, 2539056
26138, 19761, 2543125
31633, 8545, 2547194
32533, -3911, 2551263
28706, -15800, 2555332
20709, -25393, 2559401
9704, -31297, 2563470
-2711, -32655, 2567539
-14732, -29268, 2571608
-24613, -21630, 2575677
-30919, -10849, 2579746
-32732, 1507, 2583815
-29791, 13645, 2587884
-22521, 23801, 2591953
-11980, 30498, 2596022
302, 32766, 2600091
12539, 30273, 2604160
22956, 23382, 2608229
30037, 13094, 2612298
32755, 905, 2616367
30714, -11417, 2620436
24211, -22079, 2624505
14191, -29534, 2628574
2110, -32699, 2632643
-10278, -31113, 2636712
-21173, -25007, 2640781
-28992, -15269, 2644850
-32599, -3312, 2648919
-31470, 9126, 2652988
-25770, 20238, 2657057
-16325, 28411, 2661126
-4509, 32455, 2665195
7962, 31785, 2669264
19276, 26497, 2673333
27790, 17360, 2677402
32267, 5701, 2681471
32057, -6786, 2685540
27189, -18288, 2689609
18371, -27133, 2693678
6885, -32036, 2697747
-5602, -32285, 2701816
-17275, -27843, 2705885
-26438, -19357, 2709954
-31760, -8059, 2714023
-32469, 4410, 2718092
-28460, 16238, 2722161
-20317, 25708, 2726230
-9223, 31442, 2730299
3212, 32609, 2734368
15180, 29039, 2738437
24942, 21250, 2742506
31082, 10374, 2746575
32705, -2009, 2750644
29578, -14101, 2754713
22154, -24143, 2758782
11511, -30679, 2762851
-804, -32757, 2766920
-13002, -30077, 2770989
-23311, -23027, 2775058
-30234, -12632, 2779127
-32765, -402, 2783196
-30535, 11886, 2787265
-23870, 22448, 2791334
-13736, 29749, 2795403
-1608, 32728, 2799472
10754, 30952, 2803541
21554, 24680, 2807610
29223, 14822, 2811679
32646, 2811, 2815748
31327, -9608, 2819817
25456, -20631, 2823886
15888, -28658, 2827955
4011, -32521, 2832024
-8448, -31659, 2836093
-19680, -26198, 2840162
-28053, -16932, 2844231
-32351, -5205, 2848300
-31949, 7277, 2852369
-26905, 18703, 2856438
-17953, 27411, 2860507
-6393, 32137, 2864576
6096, 32195, 2868645
17700, 27575, 2872714
26732, 18950, 2876783
31880, 7571, 2880852
32397, -4907, 2884921
28208, -16673, 2888990
19921, -26016, 2893059
8739, -31580, 2897128
-3712, -32556, 2901197
-15623, -28803, 2905266
-25265, -20865, 2909335
-31237, -9896, 2913404
-32671, 2511, 2917473
-29358, 14553, 2921542
-21781, 24480, 2925611
-11039, 30852, 2929680
1307, 32741, 2933749
13462, 29874, 2937818
23662, 22667, 2941887
30424, 12167, 2945956
32767, -101, 2950025
30349, -12353, 2954094
23522, -22812, 2958163
